"payment_id","customer_id","rental_id","inventory_id","rental_date","return_date","rental_rate","amount_paid","rental_duration","real_duration","delay","film_id","title"
17503,341,1520,3419,"2005-06-15 23:57:20","2005-06-24 23:46:20","4.99","7.99",6,"9","3",749,"Rules Human"
17504,341,1778,2512,"2005-06-16 18:54:48","2005-06-22 16:08:48","0.99","1.99",5,"6","1",552,"Majestic Floats"
17505,341,1849,2507,"2005-06-17 00:13:19","2005-06-23 18:37:19","4.99","7.99",3,"6","3",551,"Maiden Home"
17506,341,2829,2047,"2005-06-19 21:11:30","2005-06-24 18:10:30","2.99","2.99",5,"5","0",445,"Hyde Doctor"
17507,341,3130,2569,"2005-06-20 19:03:22","2005-06-29 18:05:22","4.99","7.99",6,"9","3",563,"Massacre Usual"
17508,341,3382,131,"2005-06-21 14:05:23","2005-06-29 19:13:23","0.99","5.99",3,"8","5",26,"Annie Identity"
17509,342,2190,4398,"2005-06-18 01:29:51","2005-06-26 04:31:51","4.99","5.99",7,"8","1",961,"Wash Heavenly"
17510,342,2914,2419,"2005-06-20 03:43:18","2005-06-25 03:44:18","4.99","5.99",4,"5","1",527,"Lola Agent"
17511,342,3081,2071,"2005-06-20 15:29:13","2005-06-24 21:00:13","2.99","2.99",4,"4","0",449,"Identity Lover"
17512,343,1547,2909,"2005-06-16 01:42:24","2005-06-19 01:13:24","4.99","4.99",7,"3","-4",639,"Opposite Necklace"
17513,343,1564,145,"2005-06-16 02:47:07","2005-06-24 03:12:07","2.99","6.99",4,"8","4",30,"Anything Savannah"
17514,343,1879,3983,"2005-06-17 02:57:34","2005-06-19 00:00:34","0.99","0.99",5,"2","-3",868,"Superfly Trip"
17515,343,1922,2484,"2005-06-17 06:04:25","2005-06-18 09:15:25","0.99","0.99",4,"1","-3",545,"Madness Attacks"
17516,343,2461,78,"2005-06-18 19:58:12","2005-06-28 01:35:12","2.99","6.99",6,"10","4",16,"Alley Evolution"
17517,343,2980,310,"2005-06-20 08:35:03","2005-06-29 07:57:03","2.99","8.99",3,"9","6",69,"Beverly Outlaw"
17518,343,3407,3919,"2005-06-21 16:14:02","2005-06-24 15:38:02","0.99","0.99",7,"3","-4",855,"Streak Ridgemont"
17519,344,1341,3363,"2005-06-15 12:26:18","2005-06-21 07:26:18","0.99","3.99",3,"6","3",738,"Rocketeer Mother"
17520,344,1475,1834,"2005-06-15 21:08:01","2005-06-18 22:33:01","4.99","4.99",5,"3","-2",398,"Hanover Galaxy"
17521,344,1731,3698,"2005-06-16 15:32:12","2005-06-19 18:58:12","0.99","0.99",5,"3","-2",809,"Slipper Fidelity"
17522,345,1210,7,"2005-06-15 02:57:51","2005-06-20 01:41:51","0.99","0.99",6,"5","-1",1,"Academy Dinosaur"
17523,345,1457,730,"2005-06-15 20:05:49","2005-06-19 15:35:49","4.99","4.99",5,"4","-1",159,"Closer Bang"
17524,345,1550,2003,"2005-06-16 01:58:35","2005-06-18 23:56:35","0.99","0.99",4,"2","-2",436,"Hours Rage"
17525,345,2766,3421,"2005-06-19 17:45:15","2005-06-23 20:11:15","4.99","4.99",6,"4","-2",749,"Rules Human"
17526,346,1994,2203,"2005-06-17 11:07:06","2005-06-25 08:32:06","2.99","5.99",5,"8","3",476,"Jason Trap"
17527,346,3372,4169,"2005-06-21 13:34:19","2005-06-27 08:41:19","0.99","2.99",4,"6","2",906,"Tramp Others"
17528,346,3421,3930,"2005-06-21 17:22:58","2005-06-24 18:57:58","2.99","2.99",3,"3","0",857,"Strictly Scarface"
17529,347,1711,273,"2005-06-16 14:11:52","2005-06-25 08:49:52","4.99","8.99",5,"9","4",61,"Beauty Grease"
17530,347,2274,3021,"2005-06-18 06:31:15","2005-06-21 01:24:15","0.99","0.99",7,"3","-4",663,"Patient Sister"
17531,347,3026,4032,"2005-06-20 11:48:00","2005-06-21 12:51:00","4.99","4.99",3,"1","-2",878,"Teen Apollo"
17532,347,3092,4344,"2005-06-20 16:04:42","2005-06-27 19:54:42","4.99","8.99",3,"7","4",946,"Virtual Spoilers"
17533,347,3326,1025,"2005-06-21 09:04:50","2005-06-30 12:10:50","4.99","7.99",6,"9","3",229,"Devil Desire"
17534,348,1654,1039,"2005-06-16 09:42:48","2005-06-20 14:28:48","2.99","2.99",7,"4","-3",232,"Dirty Ace"
17535,348,2041,782,"2005-06-17 14:19:00","2005-06-26 08:38:00","4.99","8.99",5,"9","4",170,"Command Darling"
17536,348,2499,3172,"2005-06-18 23:01:36","2005-06-20 21:50:36","0.99","0.99",7,"2","-5",697,"Primary Glass"
17537,349,1197,3812,"2005-06-15 01:42:46","2005-06-20 00:22:46","2.99","2.99",6,"5","-1",835,"Spy Mile"
17538,349,1523,681,"2005-06-16 00:18:40","2005-06-17 02:50:40","0.99","0.99",7,"1","-6",149,"Christmas Moonshine"
17539,349,2987,1531,"2005-06-20 08:55:50","2005-06-28 13:02:50","4.99","6.99",6,"8","2",334,"Freddy Storm"
17540,349,3067,3094,"2005-06-20 13:59:21","2005-06-28 19:09:21","4.99","8.99",4,"8","4",680,"Pinocchio Simon"
17541,350,2011,734,"2005-06-17 11:56:09","2005-06-24 06:47:09","0.99","3.99",4,"7","3",160,"Club Graffiti"
17542,350,2619,1848,"2005-06-19 08:03:12","2005-06-21 05:02:12","0.99","0.99",3,"2","-1",402,"Harper Dying"
17543,350,3079,2135,"2005-06-20 15:13:40","2005-06-21 12:03:40","2.99","2.99",5,"1","-4",462,"Insider Arizona"
17544,350,3206,2196,"2005-06-21 00:39:39","2005-06-22 05:12:39","0.99","0.99",6,"1","-5",475,"Japanese Run"
17545,351,1792,3800,"2005-06-16 20:04:50","2005-06-26 00:57:50","0.99","5.99",5,"10","5",832,"Splash Gump"
17546,351,1869,871,"2005-06-17 02:08:00","2005-06-19 21:43:00","0.99","0.99",6,"2","-4",191,"Crooked Frogmen"
17547,351,2759,687,"2005-06-19 17:10:24","2005-06-24 21:56:24","2.99","2.99",7,"5","-2",150,"Cider Desire"
17548,352,1498,3690,"2005-06-15 21:58:00","2005-06-17 21:50:00","0.99","0.99",4,"2","-2",807,"Sleuth Orient"
17549,352,1649,390,"2005-06-16 09:20:33","2005-06-18 13:42:33","4.99","4.99",6,"2","-4",86,"Boogie Amelie"
17550,352,1678,1856,"2005-06-16 11:08:28","2005-06-19 15:44:28","4.99","4.99",5,"3","-2",403,"Harry Idaho"
17551,352,1780,146,"2005-06-16 19:11:45","2005-06-19 15:34:45","4.99","4.99",5,"3","-2",31,"Apache Divine"
17552,352,3331,2913,"2005-06-21 09:37:53","2005-06-26 04:01:53","4.99","4.99",5,"5","0",640,"Opus Ice"
17553,353,1359,3140,"2005-06-15 13:30:30","2005-06-17 14:55:30","2.99","2.99",7,"2","-5",690,"Pond Seattle"
17554,353,1928,3454,"2005-06-17 06:48:31","2005-06-26 08:17:31","2.99","7.99",4,"9","5",757,"Sagebrush Clueless"
17555,353,3233,3542,"2005-06-21 02:39:31","2005-06-28 05:23:31","2.99","6.99",3,"7","4",774,"Searchers Wait"
17556,354,1491,848,"2005-06-15 21:48:18","2005-06-20 16:40:18","0.99","0.99",6,"5","-1",186,"Craft Outfield"
17557,354,2275,2805,"2005-06-18 06:31:29","2005-06-24 10:04:29","2.99","4.99",4,"6","2",616,"National Story"
17558,354,2769,1222,"2005-06-19 17:52:14","2005-06-26 20:30:14","4.99","6.99",5,"7","2",271,"Easy Gladiator"
17559,354,3139,3474,"2005-06-20 19:44:45","2005-06-23 16:24:45","2.99","2.99",7,"3","-4",761,"Santa Paris"
17560,355,1488,1081,"2005-06-15 21:39:54","2005-06-16 20:33:54","0.99","0.99",4,"1","-3",241,"Donnie Alley"
17561,355,1612,3025,"2005-06-16 06:52:05","2005-06-19 01:51:05","2.99","2.99",6,"3","-3",664,"Patriot Roman"
17562,356,1410,809,"2005-06-15 16:59:46","2005-06-21 16:38:46","0.99","0.99",6,"6","0",176,"Congeniality Quest"
17563,356,2405,3604,"2005-06-18 16:36:38","2005-06-21 19:15:38","2.99","2.99",5,"3","-2",788,"Ship Wonderland"
17564,356,2433,937,"2005-06-18 18:10:17","2005-06-23 14:46:17","4.99","4.99",7,"5","-2",207,"Dangerous Uptown"
17565,357,1246,431,"2005-06-15 05:11:19","2005-06-21 02:21:19","4.99","5.99",5,"6","1",95,"Breakfast Goldfinger"
17566,357,1788,3794,"2005-06-16 19:47:18","2005-06-22 23:10:18","0.99","1.99",5,"6","1",831,"Spirited Casualties"
17567,357,1971,2870,"2005-06-17 09:23:59","2005-06-25 13:20:59","0.99","1.99",7,"8","1",629,"Notorious Reunion"
17568,357,2153,2440,"2005-06-17 22:58:04","2005-06-24 19:38:04","4.99","6.99",5,"7","2",532,"Loser Hustler"
17569,358,1455,2194,"2005-06-15 19:51:06","2005-06-18 21:54:06","2.99","2.99",6,"3","-3",474,"Jade Bunch"
17570,358,1908,399,"2005-06-17 05:10:36","2005-06-19 03:52:36","0.99","0.99",7,"2","-5",89,"Borrowers Bedazzled"
17571,358,2114,3541,"2005-06-17 20:00:25","2005-06-23 18:51:25","2.99","5.99",3,"6","3",774,"Searchers Wait"
17572,358,2721,3786,"2005-06-19 14:53:24","2005-06-21 18:22:24","2.99","2.99",7,"2","-5",829,"Spinal Rocky"
17573,358,2749,1540,"2005-06-19 16:27:35","2005-06-25 21:06:35","2.99","2.99",6,"6","0",337,"Frida Slipper"
17574,358,3245,2057,"2005-06-21 03:06:11","2005-06-25 08:06:11","2.99","2.99",5,"4","-1",447,"Ice Crossing"
17575,359,1329,1154,"2005-06-15 11:25:06","2005-06-17 16:10:06","4.99","4.99",6,"2","-4",255,"Driving Polish"
17576,359,1770,1681,"2005-06-16 18:07:55","2005-06-23 23:49:55","0.99","1.99",6,"7","1",367,"Goldmine Tycoon"
17577,359,2401,85,"2005-06-18 16:22:03","2005-06-19 13:49:03","0.99","0.99",3,"1","-2",17,"Alone Trip"
17578,359,2736,4510,"2005-06-19 15:43:20","2005-06-21 13:03:20","4.99","4.99",4,"2","-2",985,"Wonderland Christmas"
17579,360,1492,4148,"2005-06-15 21:48:35","2005-06-17 17:18:35","0.99","0.99",3,"2","-1",901,"Tracy Cider"
17580,360,2402,2833,"2005-06-18 16:24:45","2005-06-27 14:39:45","2.99","6.99",5,"9","4",621,"Network Peak"
17581,360,2541,129,"2005-06-19 02:08:10","2005-06-23 23:32:10","2.99","3.99",3,"4","1",25,"Angels Life"
17582,360,2780,1513,"2005-06-19 18:19:33","2005-06-28 22:29:33","4.99","6.99",7,"9","2",330,"Forrester Comancheros"
17583,361,2353,3223,"2005-06-18 12:53:25","2005-06-19 13:53:25","4.99","4.99",4,"1","-3",708,"Quills Bull"
17584,361,2558,2920,"2005-06-19 03:09:16","2005-06-24 05:29:16","0.99","1.99",4,"5","1",641,"Orange Grapes"
17585,361,2851,2168,"2005-06-19 23:07:03","2005-06-22 17:26:03","2.99","2.99",5,"3","-2",468,"Invasion Cyclone"
17586,361,3303,1565,"2005-06-21 07:34:14","2005-06-26 13:18:14","0.99","2.99",3,"5","2",344,"Fury Murder"
17587,362,1429,4116,"2005-06-15 18:24:10","2005-06-18 16:30:10","2.99","2.99",3,"3","0",895,"Tomorrow Hustler"
17588,362,1529,1688,"2005-06-16 00:37:35","2005-06-22 18:58:35","2.99","2.99",7,"6","-1",368,"Gone Trouble"
17589,362,1615,3894,"2005-06-16 07:00:28","2005-06-25 08:53:28","0.99","2.99",7,"9","2",850,"Story Side"
17590,362,3197,1811,"2005-06-21 00:07:23","2005-06-23 00:53:23","2.99","2.99",6,"2","-4",393,"Halloween Nuts"
17591,362,3393,1631,"2005-06-21 15:14:27","2005-06-25 19:54:27","2.99","2.99",5,"4","-1",356,"Giant Troopers"
17592,363,1426,4412,"2005-06-15 18:16:24","2005-06-18 22:15:24","4.99","4.99",4,"3","-1",964,"Waterfront Deliverance"
17593,363,1569,3927,"2005-06-16 03:19:09","2005-06-18 21:55:09","4.99","4.99",5,"2","-3",856,"Streetcar Intentions"
17594,363,1847,1189,"2005-06-17 00:05:22","2005-06-20 21:09:22","4.99","4.99",5,"3","-2",265,"Dying Maker"
17595,363,2540,4305,"2005-06-19 02:04:48","2005-06-20 22:42:48","4.99","4.99",3,"1","-2",938,"Velvet Terminator"
17596,363,3281,4006,"2005-06-21 06:08:47","2005-06-24 11:22:47","2.99","2.99",3,"3","0",872,"Sweet Brotherhood"
17597,364,1722,2142,"2005-06-16 15:12:52","2005-06-19 13:01:52","2.99","2.99",4,"3","-1",463,"Instinct Airport"
17598,364,2442,4045,"2005-06-18 18:49:18","2005-06-22 16:18:18","2.99","2.99",6,"4","-2",880,"Telemark Heartbreakers"
17599,364,2606,4133,"2005-06-19 06:51:32","2005-06-21 03:15:32","4.99","4.99",4,"2","-2",898,"Tourist Pelican"
17600,364,2857,2886,"2005-06-19 23:15:15","2005-06-25 04:24:15","4.99","4.99",6,"6","0",633,"October Submarine"
17601,364,2962,2978,"2005-06-20 07:31:55","2005-06-26 04:43:55","0.99","3.99",3,"6","3",652,"Pajama Jawbreaker"
17602,365,1303,2001,"2005-06-15 09:55:57","2005-06-20 14:26:57","0.99","1.99",4,"5","1",436,"Hours Rage"
17603,365,1578,3397,"2005-06-16 04:08:16","2005-06-23 07:57:16","4.99","6.99",5,"7","2",745,"Roses Treasure"
17604,365,1983,1955,"2005-06-17 10:22:13","2005-06-24 05:04:13","4.99","4.99",7,"7","0",426,"Home Pity"
17605,365,2525,1307,"2005-06-19 00:48:22","2005-06-24 19:10:22","2.99","2.99",7,"5","-2",288,"Escape Metropolis"
