"inventory_id","film_id","title","total_rentals_duration_in_hours","percentual_occupation_ratio"
1780,387,"Gun Bonnie","1039","43.24"
1300,287,"Entrapment Satisfaction","977","40.66"
3894,850,"Story Side","964","40.12"
595,130,"Celebrity Horn","941","39.16"
3632,793,"Shrunk Divine","929","38.66"
1514,331,"Forward Temple","920","38.29"
1946,424,"Holocaust Highball","920","38.29"
928,206,"Dancing Fever","919","38.24"
1404,307,"Fellowship Autumn","912","37.95"
2630,577,"Mile Mulan","910","37.87"
4154,902,"Trading Pinocchio","901","37.49"
2095,454,"Impact Aladdin","895","37.25"
1648,360,"Glass Dying","893","37.16"
644,140,"Cheaper Clyde","883","36.75"
3273,721,"Reds Pocus","877","36.50"
1699,370,"Gorgeous Bingo","875","36.41"
3299,726,"Reservoir Adaptation","873","36.33"
2459,537,"Lover Truman","873","36.33"
1921,417,"Hills Neighbors","872","36.29"
1137,252,"Dream Pickup","871","36.25"
1829,397,"Hanky October","869","36.16"
3367,738,"Rocketeer Mother","867","36.08"
638,139,"Chasing Fight","866","36.04"
3741,818,"Something Duck","865","36.00"
632,137,"Charade Duffel","865","36.00"
214,48,"Backlash Undefeated","864","35.96"
4463,975,"Willow Tracy","864","35.96"
1381,303,"Fantasy Troopers","860","35.79"
2284,494,"Karate Moon","859","35.75"
4357,949,"Volcano Texas","859","35.75"
709,155,"Cleopatra Devil","853","35.50"
1922,417,"Hills Neighbors","853","35.50"
4482,979,"Witches Panic","853","35.50"
2575,563,"Massacre Usual","850","35.37"
1085,242,"Doom Dancing","848","35.29"
456,100,"Brooklyn Desert","846","35.21"
2296,500,"Kiss Glory","846","35.21"
457,101,"Brotherhood Blanket","842","35.04"
2598,571,"Metal Armageddon","841","35.00"
872,191,"Crooked Frogmen","840","34.96"
3423,750,"Run Pacific","839","34.91"
1955,426,"Home Pity","838","34.87"
103,21,"American Circus","837","34.83"
3704,810,"Slums Duck","837","34.83"
4371,953,"Wait Cider","836","34.79"
2233,483,"Jericho Mulan","835","34.75"
3049,670,"Pelican Comforts","834","34.71"
129,25,"Angels Life","833","34.67"
4001,871,"Sweden Shining","832","34.62"
946,210,"Darko Dorado","831","34.58"
2714,595,"Moon Bunch","830","34.54"
965,215,"Dawn Pond","829","34.50"
1862,406,"Haunting Pianist","822","34.21"
3969,865,"Sunrise League","821","34.17"
917,204,"Dalmations Sweden","821","34.17"
712,155,"Cleopatra Devil","820","34.12"
249,56,"Barefoot Manchurian","820","34.12"
4030,878,"Teen Apollo","820","34.12"
1718,374,"Graffiti Love","820","34.12"
1774,385,"Groundhog Uncut","818","34.04"
593,129,"Cause Date","818","34.04"
2164,467,"Intrigue Worst","818","34.04"
3453,757,"Sagebrush Clueless","817","34.00"
2077,450,"Idols Snatchers","816","33.96"
3904,852,"Strangelove Desire","816","33.96"
3046,668,"Peak Forever","814","33.87"
1118,247,"Downhill Enough","813","33.83"
4168,906,"Tramp Others","813","33.83"
4366,952,"Wagon Jaws","812","33.79"
145,30,"Anything Savannah","811","33.75"
1478,323,"Flight Lies","810","33.71"
2578,564,"Massage Image","809","33.67"
1364,301,"Family Sweet","809","33.67"
1688,368,"Gone Trouble","808","33.62"
3346,735,"Robbers Joon","807","33.58"
1235,273,"Effect Gladiator","807","33.58"
1761,382,"Grit Clockwork","807","33.58"
3912,854,"Strangers Graffiti","804","33.46"
2984,654,"Panky Submarine","801","33.33"
3074,676,"Philadelphia Wife","801","33.33"
1041,232,"Dirty Ace","799","33.25"
3689,807,"Sleuth Orient","799","33.25"
1050,234,"Disturbing Scarface","798","33.21"
2202,476,"Jason Trap","796","33.13"
4360,951,"Voyage Legally","796","33.13"
471,103,"Bucket Brotherhood","794","33.04"
1103,245,"Double Wrath","794","33.04"
473,104,"Bugsy Song","794","33.04"
2008,437,"House Dynamite","794","33.04"
4466,976,"Wind Phantom","794","33.04"
314,70,"Bikini Borrowers","792","32.96"
1286,284,"Enemy Odds","791","32.92"
2247,486,"Jet Neighbors","790","32.88"
3420,749,"Rules Human","790","32.88"
1572,345,"Gables Metropolis","789","32.83"
1014,227,"Details Packer","789","32.83"
1489,326,"Flying Hook","789","32.83"
2601,571,"Metal Armageddon","788","32.79"
1446,317,"Fireball Philadelphia","787","32.75"
273,61,"Beauty Grease","787","32.75"
1247,275,"Egypt Tenenbaums","786","32.71"
4420,966,"Wedding Apollo","785","32.67"
3545,775,"Seattle Expecations","785","32.67"
692,151,"Cincinatti Whisperer","785","32.67"
3722,814,"Snatch Slipper","784","32.63"
3063,673,"Personal Ladybugs","782","32.54"
810,176,"Congeniality Quest","782","32.54"
734,160,"Club Graffiti","782","32.54"
708,154,"Clash Freddy","780","32.46"
3660,800,"Sinners Atlantis","779","32.42"
2921,641,"Orange Grapes","779","32.42"
2223,481,"Jekyll Frogmen","779","32.42"
4441,971,"Whale Bikini","778","32.38"
952,212,"Darn Forrester","778","32.38"
786,172,"Coneheads Smoochy","778","32.38"
3664,800,"Sinners Atlantis","776","32.29"
326,73,"Bingo Talented","776","32.29"
3773,826,"Speed Suit","775","32.25"
3963,864,"Sundance Invasion","775","32.25"
2496,548,"Magnificent Chitty","775","32.25"
1321,292,"Excitement Eve","773","32.17"
4344,946,"Virtual Spoilers","773","32.17"
2833,621,"Network Peak","771","32.08"
187,42,"Artist Coldblooded","771","32.08"
485,109,"Butterfly Chocolat","771","32.08"
1221,271,"Easy Gladiator","770","32.04"
1099,244,"Dorado Notting","770","32.04"
1866,407,"Hawk Chill","770","32.04"
578,126,"Casualties Encino","769","32.00"
971,216,"Day Unfaithful","769","32.00"
4104,893,"Titans Jerk","769","32.00"
4319,941,"Videotape Arsenic","769","32.00"
2417,527,"Lola Agent","768","31.96"
2275,491,"Jumping Wrath","768","31.96"
3293,725,"Requiem Tycoon","768","31.96"
2817,619,"Neighbors Charade","765","31.84"
1096,244,"Dorado Notting","765","31.84"
3975,866,"Sunset Racer","764","31.79"
1810,393,"Halloween Nuts","763","31.75"
2634,578,"Million Ace","763","31.75"
1787,388,"Gunfight Moon","763","31.75"
4029,878,"Teen Apollo","763","31.75"
1850,403,"Harry Idaho","762","31.71"
2276,492,"Jungle Closer","762","31.71"
2732,599,"Mother Oleander","760","31.63"
3086,678,"Pickup Driving","760","31.63"
213,48,"Backlash Undefeated","760","31.63"
1657,361,"Gleaming Jawbreaker","760","31.63"
1711,373,"Graduate Lord","759","31.59"
2540,557,"Manchurian Curtain","759","31.59"
615,133,"Chamber Italian","759","31.59"
2444,533,"Lost Bird","758","31.54"
1334,294,"Expecations Natural","758","31.54"
851,187,"Cranes Reservoir","757","31.50"
760,166,"Color Philadelphia","757","31.50"
530,116,"Candidate Perdition","756","31.46"
242,55,"Barbarella Streetcar","756","31.46"
1496,327,"Fool Mockingbird","755","31.42"
932,206,"Dancing Fever","754","31.38"
1966,429,"Honey Ties","753","31.34"
3845,842,"State Wasteland","753","31.34"
1828,397,"Hanky October","750","31.21"
182,40,"Army Flintstones","750","31.21"
268,59,"Bear Graceland","750","31.21"
1872,408,"Head Stranger","750","31.21"
4034,879,"Telegraph Voyage","749","31.17"
2802,615,"Nash Chocolat","749","31.17"
1815,394,"Hamlet Wisdom","749","31.17"
3595,786,"Shepherd Midsummer","749","31.17"
2803,615,"Nash Chocolat","749","31.17"
23,5,"African Egg","749","31.17"
24,5,"African Egg","747","31.09"
2725,598,"Mosquito Armageddon","747","31.09"
522,115,"Campus Remember","747","31.09"
921,204,"Dalmations Sweden","746","31.04"
2867,628,"Northwest Polish","746","31.04"
3683,805,"Sleepless Monsoon","746","31.04"
1818,395,"Handicap Boondock","745","31.00"
288,65,"Behavior Runaway","745","31.00"
4093,891,"Timberland Sky","745","31.00"
1655,361,"Gleaming Jawbreaker","744","30.96"
301,68,"Betrayed Rear","744","30.96"
2884,633,"October Submarine","744","30.96"
4483,979,"Witches Panic","743","30.92"
2262,489,"Juggler Hardly","742","30.88"
4540,991,"Worst Banger","742","30.88"
2656,583,"Mission Zoolander","742","30.88"
2381,519,"Liberty Magnificent","741","30.84"
2724,597,"Moonwalker Fool","741","30.84"
618,134,"Champion Flatliners","740","30.79"
1222,271,"Easy Gladiator","740","30.79"
3707,811,"Smile Earring","740","30.79"
30,6,"Agent Truman","739","30.75"
2613,573,"Microcosmos Paradise","739","30.75"
4004,872,"Sweet Brotherhood","739","30.75"
2766,608,"Murder Antitrust","738","30.71"
523,115,"Campus Remember","738","30.71"
937,207,"Dangerous Uptown","737","30.67"
3340,734,"Road Roxanne","736","30.63"
3979,867,"Super Wyoming","736","30.63"
4006,872,"Sweet Brotherhood","736","30.63"
3913,854,"Strangers Graffiti","735","30.59"
933,206,"Dancing Fever","734","30.55"
37,8,"Airport Pollock","734","30.55"
1520,331,"Forward Temple","734","30.55"
4149,901,"Tracy Cider","733","30.50"
3277,722,"Reef Salute","733","30.50"
3656,798,"Silverado Goldfinger","733","30.50"
585,127,"Cat Coneheads","733","30.50"
3800,832,"Splash Gump","732","30.46"
3919,855,"Streak Ridgemont","732","30.46"
4037,879,"Telegraph Voyage","732","30.46"
2785,611,"Musketeers Wait","732","30.46"
4573,999,"Zoolander Fiction","731","30.42"
2527,555,"Mallrats United","731","30.42"
3546,775,"Seattle Expecations","729","30.34"
1230,273,"Effect Gladiator","729","30.34"
2306,501,"Kissing Dolls","729","30.34"
3959,863,"Sun Confessions","729","30.34"
614,133,"Chamber Italian","728","30.30"
4260,926,"Untouchables Sunrise","727","30.25"
2492,546,"Madre Gables","727","30.25"
466,103,"Bucket Brotherhood","727","30.25"
2530,555,"Mallrats United","727","30.25"
3481,763,"Satisfaction Confidential","727","30.25"
949,211,"Darling Breaking","727","30.25"
1505,329,"Forrest Sons","725","30.17"
1785,388,"Gunfight Moon","724","30.13"
3317,730,"Ridgemont Submarine","724","30.13"
1494,327,"Fool Mockingbird","724","30.13"
4033,879,"Telegraph Voyage","724","30.13"
3057,672,"Perfect Groove","724","30.13"
4276,930,"Vacation Boondock","723","30.09"
4264,927,"Uprising Uptown","723","30.09"
4108,893,"Titans Jerk","722","30.05"
200,44,"Attacks Hate","722","30.05"
887,197,"Crusade Honey","722","30.05"
4285,933,"Vampire Whale","722","30.05"
2574,563,"Massacre Usual","722","30.05"
3197,702,"Pulp Beverly","721","30.00"
2154,465,"Interview Liaisons","721","30.00"
815,177,"Connecticut Tramp","721","30.00"
2491,546,"Madre Gables","721","30.00"
3905,852,"Strangelove Desire","721","30.00"
899,200,"Curtain Videotape","720","29.96"
1077,240,"Dolls Rage","720","29.96"
2181,471,"Island Exorcist","720","29.96"
3332,733,"River Outlaw","720","29.96"
2870,629,"Notorious Reunion","720","29.96"
